"T h a t ' s   w a y   t o o   m u c h   t o   l o s e .   S i x t e e n   p o u n d s ?   A r e   y o u   c r a z y ? !","W e l l ,   i t ' s   b e c a u s e   e v e r y o n e   a l w a y s   s a i d   t h a t   I   l o o k e d   b a d   a n d   I   s t a r t e d   t o   b e l i e v e   s o   I   d i d n ' t   l i k e   t h e   w a y   I   l o o k e d ."
"H e l l o   h o w   a r e   y o u ?",""
"I   h a v e   n o   t h o u g h t s","W e l l ,   y o u   k n o w ,   s h e   d o e s n ' t   s p e n d   a   l o t   o f   t i m e   b e i n g   a n g r y   a b o u t   i t .   W h a t   d o   y o u   t h i n k ?"
"E v e r y o n e   l i k e s   p i z z a","O h ,   t h e   c o l d e r ,   t h e   b e t t e r   f o r   t h i s   c a t .   C a n   y o u   s h a r e   s o m e   i n t e r e s t i n g   s t u f f   w i t h   m e ?"
"C l a s s i c a l   i s   g r e a t .   D o   y o u   l i k e   m u s i c a l s ?","W e l l ,   l e t ' s   s e e ."
"O k a y ,   t e l l   m e .","I   w i l l   t e l l   y o u ,   p l e a s e   s h u t   u p   a n d   l e t   m e   d o   t h e   t a l k i n g .   W h a t   d o   y o u   t h i n k ?"
"L O L O L O L","P o l i t i c i a n s   a n d   d i a p e r s   h a v e   o n e   t h i n g   i n   c o m m o n .   T h e y   s h o u l d   b o t h   b e   c h a n g e d   r e g u l a r l y ,   a n d   f o r   t h e   s a m e   r e a s o n ."
"P l e a s e   t a l k   t o   m e ,   I   a m   l o n e l y .","l e t   u s   m a k e   a   p l a n   t o   s e e   t h e   l a t e s t   s t a r   w a r   m o v i e s   t o g e t h e r"
"t h a t   i s   r i g h t","T h i s   i s   M e r v .   W h a t ' s   y o u r   i d e a ?"
"S u r e","d o   y o u   w a n t   t o   g o   t o   m y   f i r e n d s '   p a r t y   t o n i g h t"
"Y o u ' r e   n o t   t a l k i n g",""
"? ?","T h a t ' s   i n t e r e s t i n g .   C a n   y o u   t e l l   m e   s o m e t h i n g   a b o u t   p o l i t i c s"
